"Sex","Age","Pclass","Fare","SibSp","Parch","Survived"
"male",43,"3",8.05,0,0,"no"
"female",38.23,"1",52,1,0,"yes"
"female",40,"2",39,1,1,"yes"
"male",31,"1",52,1,0,"no"
"male",70,"2",10.5,0,0,"no"
"male",31,"2",13,0,0,"yes"
"male",29.88,"2",0,0,0,"no"
"male",18,"3",7.775,0,0,"no"
"male",24.5,"3",8.05,0,0,"no"
"female",18,"3",9.8417,0,0,"yes"
"female",43,"3",46.9,1,6,"no"
"male",36,"1",512.3292,0,1,"yes"
"female",25.14,"3",8.1375,0,0,"no"
"male",27,"1",76.7292,0,0,"yes"
"male",20,"3",9.225,0,0,"no"
"male",14,"3",46.9,5,2,"no"
"male",60,"2",39,1,1,"no"
"male",25,"2",41.5792,1,2,"no"
"male",14,"3",39.6875,4,1,"no"
"male",19,"3",10.1708,0,0,"no"
"male",18,"3",7.7958,0,0,"no"
"female",15,"1",211.3375,0,1,"yes"
"male",31,"1",57,1,0,"yes"
"female",4,"3",13.4167,0,1,"yes"
"male",25.14,"3",56.4958,0,0,"yes"
"male",25,"3",7.225,0,0,"no"
"male",60,"1",26.55,0,0,"no"
"male",52,"2",13.5,0,0,"no"
"male",44,"3",8.05,0,0,"no"
"female",25.14,"3",7.7333,0,0,"yes"
"male",49,"1",110.8833,1,1,"no"
"male",42,"3",7.65,0,0,"no"
"female",18,"1",227.525,1,0,"yes"
"male",35,"1",26.2875,0,0,"yes"
"female",18,"3",14.4542,0,1,"no"
"male",25,"3",7.7417,0,0,"no"
"male",26,"3",7.8542,1,0,"no"
"male",39,"2",26,0,0,"no"
"female",45,"2",13.5,0,0,"yes"
"male",42,"1",26.2875,0,0,"yes"
"female",22,"1",151.55,0,0,"yes"
"male",25.14,"3",15.2458,1,1,"yes"
"female",24,"1",49.5042,0,0,"yes"
"male",38.23,"1",26.55,0,0,"no"
"male",48,"1",52,1,0,"yes"
"male",29,"3",9.4833,0,0,"no"
"male",52,"2",13,0,0,"no"
"male",19,"3",7.65,0,0,"no"
"female",38,"1",227.525,0,0,"yes"
"female",27,"2",10.5,0,0,"yes"
"male",25.14,"3",15.5,0,0,"no"
"male",33,"3",7.775,0,0,"no"
"female",6,"2",33,0,1,"yes"
"male",17,"3",7.0542,1,0,"no"
"male",34,"2",13,0,0,"no"
"male",50,"2",13,0,0,"no"
"male",27,"1",53.1,1,0,"yes"
"male",20,"3",8.6625,0,0,"no"
"female",30,"2",21,3,0,"yes"
"female",25.14,"3",7.7375,0,0,"yes"
"male",25,"2",26,1,0,"no"
"female",25,"3",7.925,1,0,"no"
"female",29,"1",211.3375,0,0,"yes"
"male",11,"3",18.7875,0,0,"no"
"male",29.88,"2",0,0,0,"no"
"male",23,"2",13,0,0,"no"
"male",23,"2",13,0,0,"no"
"male",28.5,"3",16.1,0,0,"no"
"female",48,"3",34.375,1,3,"no"
"male",35,"1",512.3292,0,0,"yes"
"male",25.14,"3",7.8958,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",38.23,"1",30,0,0,"yes"
"male",36,"1",78.85,1,0,"no"
"female",21,"1",262.375,2,2,"yes"
"male",24,"3",16.1,1,0,"no"
"male",31,"3",7.925,0,0,"yes"
"male",70,"1",71,1,1,"no"
"male",16,"3",20.25,1,1,"no"
"female",30,"2",13,0,0,"yes"
"male",19,"1",53.1,1,0,"no"
"male",31,"3",7.75,0,0,"no"
"female",4,"2",23,1,1,"yes"
"male",6,"3",12.475,0,1,"yes"
"male",33,"3",9.5,0,0,"no"
"male",23,"3",7.8958,0,0,"no"
"female",48,"2",65,1,2,"yes"
"male",0.67,"2",14.5,1,1,"yes"
"male",28,"3",7.7958,0,0,"no"
"male",18,"2",11.5,0,0,"no"
"male",34,"3",8.05,0,0,"no"
"female",33,"1",86.5,0,0,"yes"
"male",25.14,"3",14.5,0,0,"no"
"male",41,"3",7.125,0,0,"no"
"male",20,"3",7.2292,0,0,"yes"
"female",36,"1",120,1,2,"yes"
"male",16,"3",7.775,0,0,"no"
"female",51,"1",77.9583,1,0,"yes"
"male",38.23,"1",39.6,0,0,"no"
"female",30.5,"3",7.75,0,0,"no"
"male",25.14,"3",24.15,1,0,"no"
"male",32,"3",8.3625,0,0,"no"
"male",24,"3",9.5,0,0,"no"
"male",48,"3",7.8542,0,0,"no"
"female",57,"2",10.5,0,0,"no"
"male",25.14,"3",7.225,0,0,"no"
"female",54,"2",23,1,3,"yes"
"male",18,"3",7.75,0,0,"no"
"male",25.14,"3",7.75,0,0,"no"
"female",5,"3",12.475,0,0,"yes"
"male",25.14,"3",7.7375,0,0,"no"
"female",43,"1",211.3375,0,1,"yes"
"female",13,"3",7.2292,0,0,"yes"
"female",17,"1",57,1,0,"yes"
"male",29,"1",30,0,0,"no"
"male",25.14,"3",23.45,1,2,"no"
"male",25,"3",7.05,0,0,"no"
"male",25,"3",7.25,0,0,"no"
"female",18,"3",7.4958,0,0,"yes"
"male",8,"3",29.125,4,1,"no"
"male",1,"3",20.575,1,2,"yes"
"male",46,"1",79.2,0,0,"no"
"male",25.14,"3",7.75,0,0,"no"
"male",16,"2",26,0,0,"no"
"female",25.14,"3",69.55,8,2,"no"
"male",38.23,"1",30.6958,0,0,"no"
"male",25,"3",7.8958,0,0,"no"
"male",39,"2",13,0,0,"no"
"female",49,"1",25.9292,0,0,"yes"
"female",31,"3",8.6833,0,0,"yes"
"male",30,"3",7.2292,0,0,"no"
"female",30,"3",24.15,1,1,"no"
"male",34,"2",13,0,0,"no"
"female",31,"2",26.25,1,1,"yes"
"male",11,"1",120,1,2,"yes"
"male",0.42,"3",8.5167,0,1,"yes"
"male",27,"3",6.975,0,0,"yes"
"male",31,"3",7.775,0,0,"no"
"male",39,"1",0,0,0,"no"
"female",18,"3",7.775,0,0,"no"
"male",39,"2",13,0,0,"no"
"female",33,"1",53.1,1,0,"yes"
"male",26,"3",7.8875,0,0,"no"
"male",39,"3",24.15,0,0,"no"
"male",35,"2",10.5,0,0,"no"
"female",6,"3",31.275,4,2,"no"
"male",30.5,"3",8.05,0,0,"no"
"male",38.23,"1",0,0,0,"no"
"female",23,"3",7.925,0,0,"no"
"male",31,"2",37.0042,1,1,"no"
"male",43,"3",6.45,0,0,"no"
"male",10,"3",27.9,3,2,"no"
"female",52,"1",93.5,1,1,"yes"
"male",27,"3",8.6625,0,0,"yes"
"male",38,"1",0,0,0,"no"
"female",27,"3",12.475,0,1,"yes"
"male",2,"3",39.6875,4,1,"no"
"male",25.14,"3",6.95,0,0,"no"
"male",25.14,"3",56.4958,0,0,"no"
"male",1,"2",37.0042,0,2,"yes"
"male",25.14,"3",7.75,0,0,"yes"
"female",62,"1",80,0,0,"yes"
"female",15,"3",14.4542,1,0,"yes"
"male",0.83,"2",18.75,1,1,"yes"
"male",25.14,"3",7.2292,0,0,"no"
"male",23,"3",7.8542,0,0,"no"
"male",18,"3",8.3,0,0,"no"
"female",39,"1",83.1583,1,1,"yes"
"male",21,"3",8.6625,0,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",32,"3",56.4958,0,0,"yes"
"male",38.23,"1",29.7,0,0,"yes"
"male",20,"3",7.925,0,0,"no"
"male",16,"2",10.5,0,0,"no"
"female",30,"1",31,0,0,"yes"
"male",34.5,"3",6.4375,0,0,"no"
"male",17,"3",8.6625,0,0,"no"
"male",42,"3",7.55,0,0,"no"
"male",25.14,"3",69.55,8,2,"no"
"male",35,"3",7.8958,0,0,"no"
"male",28,"2",33,0,1,"no"
"female",38.23,"1",89.1042,1,0,"yes"
"male",4,"3",31.275,4,2,"no"
"male",74,"3",7.775,0,0,"no"
"female",9,"3",15.2458,1,1,"no"
"female",16,"1",39.4,0,1,"yes"
"female",44,"2",26,1,0,"no"
"female",18,"3",9.35,0,1,"yes"
"female",45,"1",164.8667,1,1,"yes"
"male",51,"1",26.55,0,0,"yes"
"female",24,"3",19.2583,0,3,"yes"
"male",25.14,"3",7.2292,0,0,"no"
"male",41,"3",14.1083,2,0,"no"
"male",21,"2",11.5,1,0,"no"
"female",48,"1",25.9292,0,0,"yes"
"female",25.14,"3",69.55,8,2,"no"
"male",24,"2",13,0,0,"no"
"female",42,"2",13,0,0,"yes"
"female",27,"2",13.8583,1,0,"yes"
"male",31,"1",50.4958,0,0,"no"
"male",25.14,"3",9.5,0,0,"no"
"male",4,"3",11.1333,1,1,"yes"
"male",26,"3",7.8958,0,0,"no"
"female",47,"1",52.5542,1,1,"yes"
"male",33,"1",5,0,0,"no"
"male",47,"3",9,0,0,"no"
"female",28,"2",24,1,0,"yes"
"female",15,"3",7.225,0,0,"yes"
"male",20,"3",9.8458,0,0,"no"
"male",19,"3",7.8958,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"female",56,"1",83.1583,0,1,"yes"
"female",25,"2",26,0,1,"yes"
"male",33,"3",7.8958,0,0,"no"
"female",22,"3",10.5167,0,0,"no"
"male",28,"2",10.5,0,0,"no"
"male",25,"3",7.05,0,0,"no"
"female",39,"3",29.125,0,5,"no"
"male",27,"2",13,0,0,"no"
"female",19,"1",30,0,0,"yes"
"female",25.14,"3",23.45,1,2,"no"
"male",26,"1",30,0,0,"yes"
"male",32,"3",7.75,0,0,"no"
